genres,spotify_id,name,artist_id,artist,danceability,energy,speechiness,valence,file_path,main_genre,main_genre_encoded
jump_up_dnb,7j0xlUZ2C8eAgJ0DYTF5MX,Work for Nothing,342v8x9GiDdRdWOwcrzY1h,Decimal Bass,0.454,0.937,0.0915,0.389,../mp3songs/Jump-Up_Drum_and_Bass/Work for Nothing.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
schranz,1uz5wsBNdL1jQ6P2BKPBVl,Nostalgia,3V3sC6ECD51H0rgsgxGfSZ,PSP,0.536,0.995,0.2,0.169,../mp3songs/SCHRANZ_2024_/Nostalgia.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
tekkno,0AwWRdFSrp40Vxj7YDbo1F,Party machen,66GQqVO1U8zhksXsdgTfhD,Thekke,0.486,0.908,0.0652,0.348,../mp3songs/tekkno/Party machen.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
schranz,6JkXmIKqOFVysQwNZ0DOmr,Dont Be a Pussy - Original Mix,4uB2stCxCbOV5We7GifuSW,Jason Little,0.806,0.995,0.32,0.0351,../mp3songs/SCHRANZ_2024_/Dont Be a Pussy - Original Mix.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
groove_techno,7JWMcXxoLiBsBM2QkkeD5x,Close Enough,"1um4s8yoDs6nbKECT77g8B, 7igvT3EeIPAVGzZRdxpZqO","Sedvs, Peel",0.727,0.923,0.0497,0.704,../mp3songs/Groove_Techno/Close Enough.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
hardstyle,47NbAO6WuJkPm5SPaqGnyo,Koekoek Jonghuh!,5WUnGF4pM7DerBF0GSivNv,D-Fence,0.505,0.998,0.112,0.122,../mp3songs/Hardcore_Techno_Hardstyle/Koekoek Jonghuh!.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
acid_techno,3SIje7YniLKN7SsoiJyXiF,Dreams Take Flight,7KkV7dFoGEXr4M3fpb1FgD,Thomas Schumacher,0.752,0.988,0.101,0.491,../mp3songs/ACID!_Best_Acid_Techno_Mix/Dreams Take Flight.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tekkno,1tYr6BW9LleP0WWRMgYt34,Persönlichkeitsstörung,23UUsIhRcUSiJ9zazaIjiU,CheapeX,0.759,0.606,0.222,0.326,../mp3songs/tekkno/Persönlichkeitsstörung.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
liquid_dnb,7JAkvffm6VZJ0uVO3DY3My,About You,0FhgVFxDmcXH3blEWtt13V,Blossom,0.551,0.86,0.036,0.0403,../mp3songs/Liquid_Drum_and_Bass/About You.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
groove_techno,2j7ggdZBta5kyc8RgdDkUk,Highline Dancer,55q6RLf1bNVnBKE9qC1MC3,Paqué,0.757,0.979,0.0549,0.476,../mp3songs/Groove_Techno/Highline Dancer.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
hard_techno,5vdaItb7tjuhs4IiXcxMXn,Rotterdam,2R3wb1vbfcX7igEpay4uPV,Per Pleks,0.598,0.921,0.0784,0.194,../mp3songs/HARD_TECHNO/Rotterdam.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
jump_up_dnb,5aR0nxizYcoRsuFPWKzda2,All The Way Up,"1V9Bmg9gpcQDBfNZBQCWw7, 7gqMiipTaISTnI2KjpdSjs","Deekline, Specimen A",0.759,0.945,0.192,0.437,../mp3songs/Jump-Up_Drum_and_Bass/All The Way Up.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
groove_techno,0iIJzjoLAphO4XxkwsSNHl,Slaves of Existence,219ftAqQ0v073JOvxg94BH,Steve RedHead,0.627,0.997,0.0504,0.361,../mp3songs/Groove_Techno/Slaves of Existence.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
90s_house,5SMnHUNB2iBm3rkuoHpIZO,I'll Be Your Friend - Original Mix (2011 Remastered Version),407nV5hO7mZap3UJdpTr4t,Robert Owens,0.731,0.859,0.0414,0.573,../mp3songs/90s_House_Classics/I'll Be Your Friend - Original Mix (2011 Remastered Version).mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90s_house,4Foka1AEAx62AqDeqpZZpd,In & Out of My Life (Knee Deep Vocal),04L4Y7Hkc1fULKhFbTnSSs,ATFC,0.675,0.93,0.171,0.569,../mp3songs/90s_House_Classics/In & Out of My Life (Knee Deep Vocal).mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
schranz,3DB9frqCf2UvUgenGpZRuH,Echoes Of Groove,49HgT3Jf89Xiw8lKvvemf5,Marco Leckbert,0.731,0.989,0.336,0.166,../mp3songs/SCHRANZ_2024_/Echoes Of Groove.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
neurofunk_dnb,6wqWOs1hjECYHhFdVR6cAH,Lust,"7s83dhuGTbXkYUEDXCisbK, 7sLv4bED064cYa2XhF85og","Synergy, Tasha Baxter",0.344,0.945,0.0538,0.0374,../mp3songs/Neurofunk_Drum_and_Bass/Lust.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
techno,2YCgldCFM52mBBZdQCOfDE,Voicemail,"2Csf1qoijHi5nMt2mMJcjd, 2wdY7YDYVddKtVbbgh1fCT","Andrea Botez, biskuwi",0.609,0.953,0.0395,0.31,../mp3songs/TECHNO_BUNKER/Voicemail.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
jump_up_dnb,7Ff2ZgIyYgmYMzTg8BotG2,Bass,5DygptUY6coQHpmgFfISzQ,A.M.C,0.828,0.99,0.325,0.314,../mp3songs/Jump-Up_Drum_and_Bass/Bass.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
